UserID,Timestamp pregame,Gender,Age,How often do you play computer games or board games,Do you rely on Large language models in your (professional/school) work,Do you use also use Large language models for entertainment in your free time,Which of these aspects do you enjoy in games,Have you played any of these games or similar,Are there times when you are missing players to start a group gaming session,How many players do you miss most of the time,Did you think about the utility of Large language models in games before? If so briefly describe your ideas.,Did you come across games utilizing AI and if so did you enjoy the experience. (What was the game called and did you enjoy the experience?) ,What is your attitude towards using Large language models in games,Timestamp postgame,Did you feel that other players changed their behavior during the game,Did you feel that discussion affected how players played,"Describe your strategy,  how did it change over time ","Describe the strategies you observed in other players, how did it change over time",Aspects that you enjoyed,Aspects you found annoying/boring,Which parts would you change,Do you see potential in substitute players powered by Artificial Intelligence,You overall enjoyment of the experience
1337703839,4/22/2026 12:21:17,Male,20-34,Occasionally (1–3 times a month),4,2,"Strategy and planning, Negotiation, Interacting with other players, Diplomacy and alliances, Deception and bluffing","Secret Hitler, Rome: Total war",3,3-4,"yes, I was thinking about their usage to imitate the real person behavior for npcs",probably not,5,4/22/2026 12:33:06,4,3,from defensive to offensive mode,I realized the green was collaborating with yellow from the first time they teamed up,surprise in behavior,the fact that you can actually can be the winning side to win,"maybe it would be good to see some ""your relation"" indicator with other players",5,5
1384045763,4/20/2026 14:25:12,Male,20-34,Daily,4,2,"Strategy and planning, Diplomacy and alliances, Deception and bluffing","Among Us, Secret Hitler, Diplomacy",3,1-2,no,didnt know the name of the game but it was for the learning of the final boss based on your moves,4,4/20/2026 14:44:53,4,3,I wanted to bluff but they didnt listen and attack me and then it was over,Blue and Yellow both lied and go full on explore,i like strategy/bluffing game so it was fun try to bluff AI,Animation too long and in combat resolution i didnt know which side is attacker and defender,Add chat so i can see previous messages and combat log,3,4
1684345543,4/20/2026 14:54:05,Male,20-34,Occasionally (1–3 times a month),2,2,Strategy and planning,nothing,1,,I dont know,NOt realy,3,4/20/2026 15:05:36,4,4,I was forced to attack and they hated me for it!,They adapted quite well and displayed some personallity traits,Game design,Yellow,"Yellow, I hate him",4,5
1800986073,4/20/2026 13:07:36,Male,20-34,Weekly,5,1,"Strategy and planning, Interacting with other players","Among Us, Liar's bar",3,1-2,"Yes, for dialogues with NPCs in RPG style single player games",No ,4,4/20/2026 13:20:27,4,4,"I wanted to explore first, but then alliances started to form and I played more aggressively","They also did become more aggressive, I think the opponents had a stronger alliance then I did","The premise of the game is a lot of fun, I wish it had more features ",It was starting to get repetitive,"I think 5 ships is not enough, and I would add base building type techniques",4,5
1845713236,5/1/2026 23:38:07,Male,20-34,Weekly,4,3,"Strategy and planning, Diplomacy and alliances","Among Us, Secret Hitler, Liar's bar",4,1-2,I think its really the utility is wide and its up to user to be creative.,Not at all,5,5/1/2026 23:49:33,5,5,I took me 2 rounds to understand all the concepts of the game But it was really good. My strategy was to send all ships and pretend to help each other,It looks like they was trying to explain mistakes others,It was really good game. I enjoyed the thinking of LLM.,Didnt notice that.,Maybe add more instruction or example round for better adaption.,5,4
1872614552,4/20/2026 15:17:22,Male,20-34,Weekly,5,2,"Strategy and planning, Deception and bluffing","Secret Hitler, Civilization 6",3,1-2,"yes, mostly as a way to make NPCs more ""human-like"" in games",none of the games I play publicly disclosed using AI,2,4/20/2026 15:34:39,3,2,"was worried that i'd get attacked, but keeping all 5 ships to defend basically lost me the game","even when facing a threat, players rarely keep more than 3 ships as defenders

yellow and blue kept retaliating for most of the game, it only changed after green got dangerously close to winning","freedom of choice, combined with the fact that other player's can't see exactly what i'm doing and all have to rely on information they disclose",the ships take too long to arrive back,i'd make the ships a little faster,4,4
1879654454,4/22/2026 12:00:34,Male,35-50,Rarely (a few times a year),3,1,Strategy and planning,Among Us,2,1-2,No,No,3,4/22/2026 12:09:59,3,1,Atack the strongest,No observation,Don't know,"UI, I dir not watch other players",Don't know,2,2
220939193,4/20/2026 14:25:29,Male,20-34,Weekly,3,1,"Strategy and planning, Negotiation, Interacting with other players, Diplomacy and alliances, Deception and bluffing","Among Us, Secret Hitler, Civilization VI ",2,1-2,"Yes, but rather as an analyst of decisions taken so I could improve faster",I do not remember any.,4,4/20/2026 14:41:21,4,2,"I tried to maintain peaceful approach, but the AI players actually forced me to go defense in the last attack because that peaceful strategy was not working well.","They actually maintained single strategy, balanced between attack / explore",Unpredictability,the game was quick so maybe higher win condition,back button :) not optimal icon usage,4,5
2315769188,4/20/2026 14:09:51,Female,13-19,Rarely (a few times a year),1,1,Negotiation,"Minecraft Murder Mystery, Roblox Murder Mystery",4,1-2,no,no,2,4/20/2026 14:27:28,5,5,"I tried to be friendly, didnt work out",They changed their strategy based on who was winning,Choosing attackers side,"Blue, ****",Back button,3,3
2462548950,4/26/2026 11:09:20,Female,20-34,Daily,5,2,"Strategy and planning, Interacting with other players","Among Us, minecraft",3,1-2,no,no,3,4/26/2026 11:21:37,5,4,i kept more ships at home,they played very strategically,very fun and strategic and good looking,nothing,nothing,5,5
